PacketCounter,SampleTimeFine,_Quat_W,_Quat_X,_Quat_Y,_Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
1244,1155742650,0.116007932,0.550128698,-0.089725189,0.822100997,10.81182098,-0.792243242,3.552999258,5.819820881,66.58560944,8.364990234,-1.107910156,-0.119628906,-0.358886719, 
1245,1155750983,0.115707196,0.545893252,-0.089220203,0.825016618,10.95414639,-0.576099932,3.742572308,6.099018574,69.66680145,8.610915184,-1.108398438,-0.106445313,-0.377929688, 
1246,1155759316,0.115399249,0.541484177,-0.088682972,0.828017771,10.77846622,-0.459525198,3.411607981,6.371942043,72.26847839,8.768241882,-1.092285156,-0.090820313,-0.368164063, 
1247,1155767649,0.115038358,0.53686446,-0.088125154,0.831129789,10.89350224,-0.452553898,3.810593843,6.776729107,75.51303864,9.68062973,-1.093261719,-0.080078125,-0.389160156, 
1248,1155775982,0.114668787,0.531951487,-0.087465778,0.834403098,11.28721428,-0.114394948,3.986747265,7.765063763,80.16262817,9.619827271,-1.077636719,-0.066894531,-0.383300781, 
1249,1155784315,0.114458427,0.526809871,-0.086850181,0.837751687,11.08957577,0.313889951,3.383935928,5.795423031,83.5009079,8.526839256,-1.081542969,-0.052246094,-0.399902344, 
1250,1155792648,0.114415608,0.521360099,-0.086228848,0.841223657,11.59628963,-0.100386657,3.788736105,4.341655254,88.11328125,7.094051838,-1.064453125,-0.041992188,-0.396484375, 
1251,1155800981,0.114459582,0.515447617,-0.085623562,0.844915092,11.77864552,0.127978906,3.851094723,3.034504414,95.15837097,7.123132706,-1.065917969,-0.031738281,-0.415039063, 
1252,1155809314,0.114720948,0.509203613,-0.084999949,0.848720133,11.65241909,0.36981073,3.621510744,1.342902064,100.0654144,5.011661053,-1.051269531,-0.021972656,-0.410644531, 
1253,1155817647,0.115262583,0.502495229,-0.084395573,0.85269618,12.1831007,0.099009335,3.739349842,-1.401983619,107.0157013,2.713279247,-1.0546875,-0.010253906,-0.431640625, 
