PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
5200,1254105382,0.708966613,0.286614597,-0.601000428,0.232416674,25.36239052,10.50522423,7.291246414,-67.38005829,-63.37046051,11.61651516,-0.758789063,0.323242188,-0.466308594
5201,1254113715,0.705113471,0.288145244,-0.603286743,0.236290216,32.06702042,2.548645735,3.748095036,54.22166443,-43.95365906,46.39966583,-0.781738281,0.329589844,-0.469726563
5202,1254122048,0.703225791,0.291969687,-0.602573931,0.239024043,21.24864388,-8.252892494,3.033189535,68.94913483,-10.43879223,-1.914313555,-0.768554688,0.321289063,-0.465332031
5203,1254130381,0.698543429,0.302249193,-0.599567592,0.247389942,11.98248577,0.698574007,-5.545431137,196.8237,-10.12001801,-0.999399185,-0.786621094,0.313476563,-0.479980469
5204,1254138714,0.692260087,0.312904567,-0.597611964,0.256373346,3.744064093,0.46660006,-5.245373726,208.5953979,-32.03165817,11.63858128,-0.775390625,0.291015625,-0.495605469
5205,1254147047,0.685821354,0.321703464,-0.597712636,0.262481093,-0.881835997,2.089823246,1.171375275,160.7159729,-58.80607224,8.924755096,-0.798828125,0.276367188,-0.514648438
5206,1254155380,0.679135919,0.327479094,-0.60119462,0.264759332,1.884799004,9.285010338,0.17024675,89.59497833,-98.61677551,13.48927212,-0.788574219,0.26171875,-0.515136719
5207,1254163713,0.672166884,0.330491394,-0.607125878,0.265266061,6.697027206,9.364638329,-2.155354977,41.51856613,-121.8899078,31.8721962,-0.818847656,0.265136719,-0.51953125
5208,1254172046,0.666356444,0.331886232,-0.613394678,0.263757467,9.74192524,2.783802032,-1.024391532,3.224502325,-118.463501,24.07306671,-0.812988281,0.265625,-0.500976563
5209,1254180379,0.661273479,0.333788306,-0.618618488,0.261943251,11.51141167,-1.37580657,-3.388138056,5.783689499,-106.1173401,9.567513466,-0.840820313,0.266113281,-0.4921875
5210,1254188712,0.655649781,0.337565929,-0.622227967,0.262689143,11.76270103,-3.259264946,-2.973942518,52.89838028,-90.89819336,11.48465157,-0.8359375,0.263183594,-0.475097656
5211,1254197045,0.649885297,0.342216283,-0.624550045,0.265471339,11.06341076,-2.173334599,-0.986232698,83.51161194,-74.33765411,16.8545475,-0.859375,0.2578125,-0.4765625
5212,1254205378,0.644092083,0.346469581,-0.626714289,0.268949747,10.36225224,1.295268297,-2.044061661,86.63661957,-68.28145599,25.87301254,-0.854980469,0.249023438,-0.467773438
5213,1254213711,0.638674676,0.348949432,-0.62974143,0.271579504,10.1075964,1.524618268,-1.770772934,58.65040588,-70.33759308,36.33949661,-0.87890625,0.250488281,-0.478515625
5214,1254222044,0.633772969,0.349948168,-0.633462667,0.273118764,9.877126694,0.213150814,-1.144016981,31.11447334,-71.49298096,41.00058365,-0.871582031,0.248046875,-0.472167969
5215,1254230377,0.629387319,0.350230038,-0.637305498,0.273958117,9.27132988,-1.197928548,-1.32631886,15.84604263,-68.90542603,39.78247833,-0.896972656,0.253417969,-0.474121094
5216,1254238710,0.624819398,0.351338387,-0.640729547,0.275005877,9.088665009,-0.9685027,-2.522533417,27.26631737,-68.81255341,33.0230217,-0.886230469,0.25,-0.467773438
5217,1254247043,0.620038509,0.353329986,-0.643656373,0.276436746,9.956310272,0.477759123,-3.410416842,41.15604782,-68.08488464,26.92553139,-0.915527344,0.25390625,-0.469238281
5218,1254255376,0.615570486,0.355140269,-0.646401584,0.277694166,10.42456818,1.769269109,-3.167372465,37.22814941,-63.72942734,24.97274399,-0.907714844,0.25,-0.466308594
5219,1254263709,0.611516893,0.355970949,-0.649520338,0.278308988,9.883814812,2.777011156,-3.477703571,19.78948021,-62.79480743,28.49162483,-0.932128906,0.254394531,-0.466308594
5220,1254272042,0.608095765,0.355512857,-0.65318501,0.277812749,8.888600349,3.796480179,-3.190281153,-6.172979355,-62.03826904,30.90284538,-0.923828125,0.251464844,-0.454101563
5221,1254280375,0.605127275,0.353899121,-0.657547116,0.27605921,8.439379692,4.440158844,-2.882999897,-31.99199867,-65.74183655,32.45765686,-0.950195313,0.2578125,-0.450195313
5222,1254288708,0.602408171,0.351326674,-0.662591696,0.27321595,9.033884048,3.201345682,-2.264294624,-53.63988876,-70.60890961,34.44564056,-0.9375,0.262695313,-0.432128906
5223,1254297041,0.599674881,0.348774582,-0.667626679,0.270225048,10.23825359,1.940174699,-2.114439964,-54.69969559,-71.66959381,33.03142548,-0.962890625,0.274414063,-0.416992188
5224,1254305374,0.596613288,0.346933305,-0.672233164,0.267942488,11.17759609,0.925358236,-2.466578722,-39.17656708,-70.16218567,31.5504818,-0.955566406,0.278320313,-0.401855469
5225,1254313707,0.593361437,0.345835716,-0.676240683,0.266494304,11.2140379,-0.343883544,-2.756480694,-22.23862076,-65.99864197,29.32595062,-0.981933594,0.2890625,-0.387695313
5226,1254322040,0.589894652,0.345565468,-0.679574907,0.266058713,10.46801853,-0.890647709,-2.468884468,-2.587047577,-60.48243332,27.52560997,-0.974609375,0.286132813,-0.372070313
5227,1254330373,0.586308002,0.345978707,-0.682310224,0.266448826,9.446603775,-0.703246355,-3.00655508,13.43920803,-55.55889893,25.38214111,-0.997558594,0.295898438,-0.37109375
5228,1254338706,0.582723439,0.346563637,-0.684864223,0.266999036,9.354499817,-1.18089819,-2.814423323,16.97823524,-53.7021637,24.22829056,-0.98828125,0.2890625,-0.360839844
5229,1254347039,0.579312146,0.346904308,-0.68735081,0.267589331,9.759212494,-1.699316621,-2.627481222,14.82204151,-50.68380356,25.85789108,-1.010253906,0.298339844,-0.348632813
5230,1254355372,0.57614255,0.347079873,-0.689678609,0.268215269,9.779393196,-1.867732644,-2.600691319,13.27224064,-46.10571289,26.08049393,-1.000488281,0.293945313,-0.339355469
5231,1254363705,0.572986484,0.347863615,-0.691540241,0.269165903,9.792842865,-2.321768522,-3.804367781,22.82862854,-43.22950745,20.58333015,-1.026855469,0.299804688,-0.331054688
