PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2860,1234614495,0.116885833,0.765712738,-0.034753751,0.63151741,14.11465836,-15.329669,23.62821198,-45.85760117,-13.3007412,-30.85315323,-0.82421875,-0.938964844,0.600585938
2861,1234622828,0.116378359,0.764518619,-0.034566641,0.633066297,13.44222832,-13.37425613,23.00356102,7.136528492,25.77932358,4.556301594,-0.779296875,-0.9375,0.602539063
2862,1234631161,0.112813525,0.761568546,-0.03412791,0.637277186,18.45891571,-9.101435661,21.29946899,39.8571434,68.25150299,33.71184158,-0.827148438,-0.940429688,0.599609375
2863,1234639494,0.107860357,0.753878534,-0.031144213,0.647351205,12.9937048,-7.88036871,18.07617378,72.23175812,174.077652,30.35336876,-0.809082031,-0.93359375,0.600097656
2864,1234647827,0.102982767,0.748031914,-0.02792942,0.655029118,-3.289298296,0.568024755,17.85851097,75.08097076,133.6180115,23.13461494,-0.876464844,-0.932617188,0.595703125
2865,1234656160,0.095062092,0.742059052,-0.023404224,0.663147211,24.45599365,-2.203138351,1.458181143,118.3643494,139.4075317,37.48511505,-0.861328125,-0.928710938,0.596191406
2866,1234664493,0.090439811,0.738485336,-0.018032089,0.667933583,29.8158474,29.45262909,-20.8914547,94.3057251,86.25938416,-6.111746311,-0.924316406,-0.924316406,0.603515625
2867,1234672826,0.087460823,0.727156043,-0.026736768,0.680353045,27.97333908,-4.959578514,-26.32887459,-59.23205566,217.2997437,132.932724,-0.921386719,-0.91796875,0.581054688
2868,1234681159,0.079374552,0.714070201,-0.024395552,0.695132136,2.323753119,-4.229164124,-3.345504761,93.74307251,269.3657532,73.98394012,-1.015136719,-0.900878906,0.546386719
2869,1234689492,0.073998362,0.705130577,-0.02563972,0.704739809,10.34013176,-0.109799944,4.923883438,35.78306198,175.475769,76.09425354,-1.015136719,-0.890136719,0.541015625
2870,1234697825,0.069109172,0.69604063,-0.024445249,0.714251041,5.251004219,-6.962504387,18.01628113,54.36790848,179.1077576,47.83509064,-1.09375,-0.882324219,0.515625
2871,1234706158,0.065874472,0.690567076,-0.023191841,0.719889045,6.558865547,-1.75512898,14.50633717,41.38061523,106.6675491,25.97397995,-1.084960938,-0.873046875,0.512207031
2872,1234714491,0.063618578,0.686803579,-0.021527018,0.723733723,9.66090107,-1.48744905,-0.089555889,36.99938965,73.84763336,10.35532188,-1.145507813,-0.872558594,0.490722656
2873,1234722824,0.061534554,0.682954431,-0.019064168,0.727615118,10.37595367,-0.836426079,-6.035502434,43.42949295,75.24181366,0.994107902,-1.132324219,-0.870605469,0.490722656
2874,1234731157,0.058718037,0.677939594,-0.016723298,0.732578337,9.713827133,1.075541258,-1.216557384,48.21030426,97.32499695,10.86151218,-1.1875,-0.866210938,0.471191406
