PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
892,1218206818,0.758321285,-0.192780659,-0.21055384,-0.586048663,5.362399578,0.463622242,8.965353966,4.998606682,13.81541348,-2.421416759,-0.692871094,1.490234375,-1.087402344
893,1218215151,0.75843066,-0.192502782,-0.210198253,-0.58612597,5.345211506,1.120335579,8.582511902,-0.475297779,6.646753788,0.234613612,-0.719726563,1.497558594,-1.102539063
894,1218223484,0.758575022,-0.192724168,-0.209844753,-0.585993052,5.737150192,0.520989835,8.096104622,-4.928486347,2.565534592,4.129411697,-0.711425781,1.496582031,-1.096191406
895,1218231817,0.75868839,-0.193044141,-0.209566325,-0.585840642,5.698908806,0.461185127,7.854881763,-5.413953304,0.425439686,4.185173988,-0.736816406,1.504394531,-1.107910156
896,1218240150,0.758867025,-0.19347097,-0.209134579,-0.585622847,5.007574081,0.00106492,8.191931725,-7.372391224,1.599800944,6.099965096,-0.739746094,1.504882813,-1.1015625
897,1218248483,0.758978486,-0.194097638,-0.208773494,-0.585399806,4.166243553,-0.502221525,7.694345951,-9.083396912,-1.375510097,6.007832527,-0.760742188,1.509277344,-1.111328125
898,1218256816,0.759078681,-0.194945037,-0.208624497,-0.585041165,5.938551426,-1.453420997,8.072630882,-9.291719437,-5.338596344,7.396609783,-0.761230469,1.5078125,-1.1015625
899,1218265149,0.759157598,-0.195220649,-0.208258525,-0.58497721,5.155536652,-1.194099545,8.264913559,-5.999699116,1.834658027,3.096594572,-0.789550781,1.512695313,-1.11328125
900,1218273482,0.759183288,-0.195762932,-0.208074734,-0.584828258,4.510387897,-1.503512025,7.930887222,-7.189506054,-2.174084902,3.822450638,-0.786621094,1.510742188,-1.105957031
901,1218281815,0.759204686,-0.196107164,-0.207983896,-0.584717572,5.384313107,-1.911947966,8.047445297,-4.523961067,-1.880802155,2.579058886,-0.814941406,1.514648438,-1.118652344
902,1218290148,0.759133041,-0.196259156,-0.207982898,-0.584759951,6.180494308,-1.488360643,8.225708961,-2.44598031,-0.710538924,-0.570762038,-0.815429688,1.510253906,-1.113769531
903,1218298481,0.759091139,-0.196014494,-0.207842439,-0.584946215,5.241637707,-0.980202615,8.336372375,0.204773024,3.993272305,-2.581326008,-0.842773438,1.516601563,-1.12890625
904,1218306814,0.759004533,-0.19602111,-0.207917944,-0.585029542,4.344891071,-1.059435248,7.94213438,-0.463130951,-0.269461751,-1.747351885,-0.846191406,1.506835938,-1.124511719
905,1218315147,0.758873761,-0.196194634,-0.208130956,-0.585065365,6.418679714,-0.719590306,7.82134676,-1.126181006,-3.720134258,-1.482756734,-0.880859375,1.509277344,-1.142089844
