PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
3697,1176175166,0.536987901,0.255489409,-0.787941337,0.15975064,10.19633579,-0.392364204,-2.935506582,-9.302694321,-67.79892731,10.92839718,-1.09765625,0.301269531,0.134765625
3698,1176183499,0.532920897,0.255474567,-0.790742159,0.159554005,10.48205757,-2.223017454,-3.10943985,5.316985607,-65.59708405,17.43197823,-1.104003906,0.299316406,0.164550781
3699,1176191832,0.528487682,0.256315351,-0.793335378,0.160078317,10.17081356,-2.60961628,-3.774254322,19.79836655,-67.24050903,14.06623459,-1.092773438,0.295898438,0.163085938
3700,1176200165,0.524622262,0.257457316,-0.795626938,0.15958716,10.76856709,0.676422775,-2.673467398,10.94278622,-63.2592659,0.506689787,-1.100097656,0.299316406,0.185546875
3701,1176208498,0.5213871,0.257580221,-0.798187912,0.157182917,10.0368681,3.627374411,-2.598604679,-21.37969398,-62.67955399,-2.050581217,-1.081542969,0.29296875,0.182617188
3702,1176216831,0.517719448,0.257321924,-0.801211238,0.154321656,9.461670876,4.423414707,-3.242396355,-27.38104057,-71.70083618,0.906274736,-1.092285156,0.288574219,0.212890625
3703,1176225164,0.513452709,0.257346034,-0.804349899,0.152194262,9.369256973,2.607056856,-3.221524,-16.57334709,-76.97845459,5.242558479,-1.078613281,0.287597656,0.214355469
3704,1176233497,0.508992434,0.257595003,-0.807480574,0.150163457,9.468960762,0.937387168,-3.475453615,-12.05161762,-79.33917236,3.272660017,-1.083496094,0.28515625,0.242675781
3705,1176241830,0.50439477,0.258228809,-0.810518801,0.148207948,9.939547539,1.117961287,-3.410866976,-8.851204872,-80.60150909,0.004623396,-1.070800781,0.283203125,0.239257813
3706,1176250163,0.499583721,0.258932292,-0.813609362,0.146330222,10.27403545,1.446317077,-3.550405741,-5.84335947,-83.35102081,-0.135576949,-1.073730469,0.27734375,0.268554688
3707,1176258496,0.494556665,0.259515703,-0.816838503,0.144370019,10.40217113,0.957995951,-3.047061205,-8.107112885,-86.6394577,2.128620863,-1.0625,0.276855469,0.26953125
3708,1176266829,0.489385039,0.260083079,-0.820099115,0.142475054,10.49935818,0.846466124,-2.935445786,-6.022947311,-88.34552002,2.593420506,-1.064941406,0.275878906,0.296875
3709,1176275162,0.483859807,0.26081565,-0.823420107,0.140843377,10.53572273,0.441933721,-3.111880779,-1.784557104,-92.00359344,4.003316402,-1.051269531,0.272949219,0.295898438
3710,1176283495,0.478192866,0.261587322,-0.826758206,0.139202356,10.66174221,0.40705508,-2.915600538,-0.165879071,-93.94897461,3.24054575,-1.051269531,0.271484375,0.330078125
3711,1176291828,0.472406209,0.262554228,-0.830038071,0.137612656,10.62942696,1.253001213,-2.255741358,1.354043126,-95.01237488,1.953702688,-1.040039063,0.270996094,0.329101563
3712,1176300161,0.466431439,0.263227463,-0.83354944,0.135467321,10.78858566,1.284772873,-1.686105371,-5.766404629,-100.2166977,2.311282873,-1.043945313,0.265625,0.35546875
3713,1176308494,0.459980547,0.263805091,-0.837296128,0.133275837,11.57929707,0.728996813,-1.772273064,-5.598458767,-107.0695877,4.892407417,-1.028320313,0.264648438,0.357910156
3714,1176316827,0.453005284,0.264615536,-0.841126442,0.131429628,12.39179993,0.3256208,-2.336260557,1.573743463,-112.9147873,5.61845541,-1.028320313,0.264160156,0.389160156
3715,1176325160,0.445940197,0.26582247,-0.844750047,0.129906267,13.05903149,2.078990459,-0.696300626,8.509080887,-112.1336212,2.497428656,-1.019042969,0.262695313,0.387695313
3716,1176333493,0.438361734,0.266800553,-0.848629475,0.128401399,13.04345322,2.890144587,-0.840141594,8.709653854,-119.2649002,7.080209732,-1.017089844,0.264648438,0.414550781
3717,1176341826,0.430017024,0.267180651,-0.853038907,0.126598433,13.46076012,1.634362936,-1.509481311,3.536317348,-131.4036713,15.60321522,-1.0078125,0.262695313,0.413085938
3718,1176350159,0.421253085,0.267210454,-0.857675552,0.124658771,14.31998444,2.270096302,-0.321714878,0.972089529,-137.5935974,20.42404938,-1.00390625,0.267089844,0.443847656
3719,1176358492,0.411889195,0.266657233,-0.86271292,0.122353837,15.70887089,3.677366972,1.378483534,-5.150843143,-147.3443146,27.73957825,-0.9921875,0.269042969,0.448730469
3720,1176366825,0.402256727,0.265320927,-0.868106842,0.119112127,17.46063614,4.450402737,2.589563608,-20.36026192,-154.6585236,33.4298172,-0.985839844,0.275878906,0.478027344
3721,1176375158,0.39278388,0.263154805,-0.873655736,0.114884891,17.89126396,4.511026859,3.414762497,-37.49303818,-155.9224091,38.2533493,-0.973632813,0.280273438,0.483886719
3722,1176383491,0.383395702,0.259820402,-0.879499197,0.109476104,16.75296974,3.945057154,3.239204884,-58.83105087,-158.850647,46.77459335,-0.966308594,0.279785156,0.522460938
3723,1176391824,0.374108255,0.255176008,-0.885680139,0.102475718,15.47082615,3.813965559,2.634307623,-85.77584839,-163.299057,55.36209869,-0.950195313,0.280761719,0.527832031
3724,1176400157,0.364778817,0.249292105,-0.892163873,0.093998879,14.64433002,3.530410767,0.665013313,-110.4960556,-168.6328735,63.90377808,-0.94140625,0.286132813,0.571777344
3725,1176408490,0.355203837,0.242447376,-0.898842752,0.084463306,13.49851513,1.430165768,-2.731200695,-127.6191101,-175.274231,71.45466614,-0.926757813,0.293457031,0.583007813
3726,1176416823,0.344600677,0.235481754,-0.905597448,0.075464487,11.98817635,-1.081627846,-7.914656639,-118.3327255,-186.1645508,76.93256378,-0.916503906,0.291015625,0.629882813
3727,1176425156,0.333494544,0.228850901,-0.912105858,0.066890091,11.58537388,-2.04428792,-8.829591751,-109.4700394,-190.5616455,74.57575226,-0.896484375,0.297363281,0.64453125
3728,1176433489,0.323436677,0.222403958,-0.917984724,0.056849785,12.84139538,-3.623330832,-8.121555328,-129.8399048,-178.9794464,62.52198792,-0.884277344,0.296875,0.685058594
3729,1176441822,0.314905554,0.216151372,-0.923031509,0.04613303,13.7399416,-5.477345943,-8.688361168,-141.4423981,-158.578125,53.37347031,-0.866210938,0.30078125,0.689453125
3730,1176450155,0.307153285,0.211376816,-0.927143157,0.037210707,13.24446869,-6.660835266,-8.983298302,-114.0749283,-139.8906708,39.05731201,-0.858886719,0.295410156,0.732421875
3731,1176458488,0.300202459,0.210307375,-0.929836571,0.032492466,11.40863323,-5.137627125,-8.339686394,-46.36614609,-113.7423248,5.056406498,-0.84765625,0.294433594,0.729492188
3732,1176466821,0.293919981,0.212757304,-0.931307614,0.031843148,9.648310661,-3.697032928,-7.313115597,18.74481201,-89.56790161,-26.99549484,-0.84375,0.291503906,0.75
3733,1176475154,0.288455188,0.216316596,-0.932091296,0.034769006,8.439759254,-2.68454957,-7.172468185,66.95043945,-66.76159668,-29.13211632,-0.84375,0.301269531,0.727539063
3734,1176483487,0.283882052,0.218153358,-0.932923019,0.03843423,6.591857433,-1.530699968,-5.587555408,66.89287567,-52.08057022,-4.39315033,-0.848144531,0.305664063,0.739746094
3735,1176491820,0.280257523,0.218153685,-0.933895469,0.041310415,4.72391367,0.001953141,-4.402194977,46.68597031,-42.29584122,15.9887085,-0.838378906,0.317382813,0.716796875
