PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
70,1211365425,0.982844949,0.095075585,-0.147186622,0.05756665,3.687227011,2.006645441,8.919750214,-12.30561733,-4.53927803,1.554566383,0.625244141,0.723144531,-0.675292969, 
71,1211373758,0.982882142,0.09438809,-0.147374392,0.05758211,2.698319435,1.266893625,9.226819992,-10.10771084,-1.239037514,1.638376355,0.626708984,0.727050781,-0.666748047, 
72,1211382091,0.982900679,0.093932614,-0.14759621,0.057442691,2.457475424,2.04292798,9.371684074,-7.011897564,-2.644977093,-0.882487297,0.611328125,0.732910156,-0.678222656, 
73,1211390424,0.982932329,0.093295082,-0.147767335,0.057499848,2.652892113,1.503024578,9.768844604,-9.324685097,-1.012402892,2.085959911,0.610351563,0.735839844,-0.665527344, 
74,1211398757,0.982960224,0.092989109,-0.147860557,0.057277497,3.431259155,1.522539735,9.351711273,-5.071157455,-1.110761285,-2.481122971,0.593994141,0.740966797,-0.683837891, 
75,1211407090,0.983025074,0.092396155,-0.147808388,0.057257459,3.067246914,1.7627455,9.120972633,-8.745315552,1.930045605,0.639344156,0.593261719,0.743652344,-0.677490234, 
76,1211415423,0.98305738,0.092217468,-0.147846445,0.056892995,1.962401152,1.7207793,9.006383896,-3.601514816,-0.634925723,-4.73566246,0.575927734,0.748535156,-0.693359375, 
77,1211423756,0.983131051,0.091574922,-0.147773638,0.0568459,3.9201653,2.566879034,8.776947975,-9.463894844,2.227529049,0.344831616,0.578613281,0.748535156,-0.689208984, 
78,1211432089,0.983218849,0.090999596,-0.147606716,0.056686182,2.220762014,1.074887037,8.794537544,-8.455924988,2.820908546,-1.464519501,0.564208984,0.755615234,-0.703857422, 
79,1211440422,0.983258843,0.090714701,-0.147619709,0.056412958,3.222789049,2.26089263,8.804066658,-5.117621899,0.433405668,-3.304646254,0.564697266,0.756103516,-0.698486328, 
80,1211448755,0.983375967,0.089911722,-0.147314698,0.056456618,4.149161816,1.620379925,8.965913773,-11.0521574,5.175368309,1.553234339,0.547363281,0.759277344,-0.709960938, 
81,1211457088,0.983477116,0.089693502,-0.146912932,0.05608362,2.114823103,1.156119347,9.262465477,-4.169255257,5.990619659,-5.351736546,0.551025391,0.757324219,-0.713378906, 
82,1211465421,0.983596444,0.089433394,-0.146339402,0.055906314,3.565608501,2.208706856,9.238985062,-3.954838753,8.116089821,-2.866003036,0.533447266,0.761962891,-0.724609375, 
83,1211473754,0.983755708,0.089205235,-0.145489678,0.055685677,2.632143259,0.733032584,9.310423851,-3.720672607,12.36134052,-3.868005753,0.533447266,0.760742188,-0.726318359, 
84,1211482087,0.983893931,0.089447603,-0.14461869,0.055120789,2.592747688,1.941450953,8.987529755,2.272610903,11.31630802,-9.496762276,0.516845703,0.759277344,-0.742431641, 
85,1211490420,0.983998001,0.089433938,-0.144021064,0.054851718,2.399384737,1.611277699,9.007216454,-1.04160285,8.613438606,-4.604235172,0.516357422,0.757324219,-0.753173828, 
86,1211498753,0.984049082,0.089479886,-0.143804416,0.054427475,2.462451696,1.310793638,9.146267891,-0.491306603,2.613612413,-6.330967903,0.494140625,0.753662109,-0.771728516, 
87,1211507086,0.984045386,0.0895724,-0.143920675,0.054032929,2.890856028,1.425658226,8.85912323,-0.260189414,-1.501250267,-5.552474499,0.489501953,0.750732422,-0.779052734, 
88,1211515419,0.984010756,0.089700736,-0.144259751,0.053545542,2.789928436,1.534824371,8.989076614,0.189148307,-5.216466904,-6.601351261,0.468994141,0.749267578,-0.802734375, 
89,1211523752,0.98392117,0.089727804,-0.144986778,0.053179309,2.542808056,1.690767527,9.267199516,-1.4293257,-9.855410576,-4.220125198,0.455566406,0.743164063,-0.814208984, 
90,1211532085,0.983826518,0.089652449,-0.145801991,0.05282633,3.4696033,1.895645976,9.118907928,-2.577022791,-11.46344662,-3.744417429,0.426757813,0.736328125,-0.839111328, 
91,1211540418,0.983758211,0.089631803,-0.146412924,0.052442156,2.636625528,1.485907555,9.462641716,-2.054441452,-8.234363556,-4.529673576,0.406005859,0.730957031,-0.849121094, 
92,1211548751,0.983689964,0.089645386,-0.146971881,0.052134506,3.761378527,2.031571388,9.393232346,-1.128691316,-7.951734543,-3.645955801,0.364013672,0.723388672,-0.87109375, 
93,1211557084,0.983669102,0.08944577,-0.147359297,0.051778149,2.732660532,1.886549354,9.443129539,-4.316921234,-4.954511166,-4.097663403,0.337646484,0.711914063,-0.877929688, 
94,1211565417,0.983637989,0.089279048,-0.147775382,0.051471788,3.2132864,1.969362736,9.393078804,-3.507972717,-5.814124584,-3.466451883,0.291015625,0.702392578,-0.888916016, 
95,1211573750,0.983632088,0.089023389,-0.148076132,0.051162139,3.356601477,1.34761095,8.999328613,-4.939320564,-3.654818058,-3.468525887,0.2578125,0.692138672,-0.887451172, 
96,1211582083,0.983623505,0.088862941,-0.148328736,0.050874069,2.776811123,1.498246074,8.890049934,-3.298472881,-3.538171053,-3.450134754,0.211425781,0.681640625,-0.887207031, 
97,1211590416,0.983604252,0.088951051,-0.148533359,0.050489664,3.066473961,2.533133984,8.431708336,-0.360264242,-2.715698242,-5.290415287,0.177246094,0.669677734,-0.873046875, 
98,1211598749,0.983753145,0.087869182,-0.148623839,0.04919979,1.412016034,3.933236837,10.3405962,-17.88678932,-1.610623956,-15.42492676,0.130859375,0.663574219,-0.853027344, 
99,1211607082,0.983718216,0.088203885,-0.1490089,0.048125304,3.123114824,-4.06365633,8.753056526,1.457795978,-6.185582638,-14.90958595,0.101318359,0.651855469,-0.827148438, 
100,1211615415,0.983744621,0.088365152,-0.149077222,0.047068849,3.587320328,5.334552288,9.576239586,-0.434289485,-2.121986151,-14.75124168,0.067871094,0.637451172,-0.80859375, 
101,1211623748,0.983779132,0.088346131,-0.149184346,0.046031374,3.507519484,-0.395532608,9.158338547,-3.136898994,-2.017505407,-14.0730505,0.055419922,0.630859375,-0.782470703, 
102,1211632081,0.983803868,0.088630222,-0.149132326,0.045115046,3.532834768,2.156529903,9.11727047,1.592244983,-0.403885245,-13.25375462,0.036865234,0.618164063,-0.759765625, 
103,1211640414,0.983810067,0.088890441,-0.149136677,0.044449866,3.12571454,1.555547118,9.037137032,1.500238538,-0.406728446,-9.706156731,0.031982422,0.607177734,-0.734863281, 
104,1211648747,0.983831644,0.089095242,-0.148998797,0.044022772,3.556137323,2.160635948,9.022753716,1.57872057,1.398857474,-6.575481892,0.020263672,0.598632813,-0.719482422, 
105,1211657080,0.983846009,0.089281991,-0.148845389,0.043845158,3.04458499,1.387914062,8.776637077,1.588018537,2.384185791,-3.158593893,0.022705078,0.586181641,-0.701660156, 
106,1211665413,0.983845353,0.089521758,-0.148677498,0.043940738,3.813674212,2.10608077,8.77302742,3.168596029,2.378371239,0.40118292,0.016357422,0.573486328,-0.691650391, 
107,1211673746,0.983879149,0.08959543,-0.148340374,0.04416956,2.945804119,1.742200375,9.282003403,0.977759302,5.48117733,2.338105679,0.021972656,0.560302734,-0.674560547, 
108,1211682079,0.983878076,0.089759871,-0.148104072,0.04465032,2.258009911,1.566463113,9.403369904,2.977078915,3.823782921,5.682889462,0.020751953,0.550537109,-0.670410156, 
109,1211690412,0.98383981,0.090099283,-0.147959977,0.045280792,3.935758591,1.894240737,8.812662125,5.364606857,3.056892633,7.510567665,0.02734375,0.538085938,-0.6640625, 
110,1211698745,0.983867526,0.090216532,-0.147492215,0.04596471,2.295116901,1.291777492,9.632294655,2.859868288,7.295255184,8.22313118,0.023925781,0.524169922,-0.66796875, 
111,1211707078,0.983808041,0.09058065,-0.147372186,0.046897382,2.960664749,1.56434238,9.32491684,6.320556164,3.044213533,11.59652615,0.026855469,0.508300781,-0.665527344, 
112,1211715411,0.983796418,0.090809032,-0.147016093,0.047808655,3.155350208,1.870565176,9.113267899,4.807369232,5.918950558,11.23493004,0.016845703,0.493408203,-0.668701172, 
113,1211723744,0.983768404,0.091098599,-0.146693051,0.048817847,2.536876678,1.258204103,9.308674812,5.564578533,5.993284225,12.50813961,0.021972656,0.478027344,-0.666503906, 
114,1211732077,0.983685911,0.091516666,-0.146596685,0.049977183,3.263907433,1.433071256,8.573730469,7.78897047,2.445762634,14.58089352,0.006591797,0.463623047,-0.679199219, 
115,1211740410,0.983610928,0.091853596,-0.146460027,0.051216315,3.374336958,0.93525815,7.859476089,6.606283665,3.631676435,15.78412151,0.004394531,0.445068359,-0.678466797, 
116,1211748743,0.983484209,0.092378624,-0.146460772,0.052683793,1.439496994,0.681258976,9.691531181,9.842466354,1.355774879,18.68721771,-0.016601563,0.426025391,-0.678710938, 
117,1211757076,0.983276904,0.093121357,-0.146795943,0.054287881,2.861340523,2.128108025,10.39114571,12.6665411,-2.838801622,20.60239792,-0.024169922,0.407958984,-0.682373047, 
118,1211765409,0.983089566,0.093669459,-0.147058144,0.055999346,3.260816097,1.720656991,9.401939392,10.53697109,-2.004263639,22.31601715,-0.049316406,0.390869141,-0.676757813, 
119,1211773742,0.982904434,0.09423276,-0.147269875,0.057722028,2.926356077,1.036849618,8.745840073,10.54877949,-0.849419713,22.37687683,-0.062011719,0.371826172,-0.670654297, 
120,1211782075,0.982718349,0.094730809,-0.147495538,0.059473552,1.58355689,1.395625234,10.38973522,9.966489792,-1.416800737,22.91103554,-0.091552734,0.35546875,-0.658447266, 
121,1211790408,0.982444584,0.095227562,-0.148234293,0.061335661,4.555800915,2.334718227,9.900643349,9.624593735,-7.915213585,25.15866661,-0.106689453,0.337890625,-0.640625, 
122,1211798741,0.982298672,0.095124453,-0.14854452,0.063058935,2.853988647,1.306632757,9.115200996,1.675082088,-2.008694887,23.82597542,-0.123535156,0.323730469,-0.633544922, 
123,1211807074,0.982046783,0.095079564,-0.149533644,0.064691424,2.813737154,1.642836452,9.21459198,1.585714221,-11.10280514,23.46850777,-0.129882813,0.311523438,-0.600585938, 
124,1211815407,0.981826663,0.09459836,-0.15073733,0.065932967,5.369446754,1.766625762,9.478853226,-5.10148716,-14.51987267,19.33029366,-0.145996094,0.299072266,-0.588378906, 
125,1211823740,0.981742322,0.093591638,-0.15166384,0.066497236,2.981787205,1.09703505,9.893726349,-13.76437664,-10.4422102,10.79528904,-0.145507813,0.287841797,-0.553222656, 
126,1211832073,0.981553972,0.09249828,-0.153583765,0.0664009,0.961870074,1.325212955,9.781023026,-16.84872246,-25.29942894,3.428045034,-0.158691406,0.276367188,-0.531005859, 
127,1211840406,0.981182158,0.091415048,-0.157000959,0.065398008,1.328749299,1.537329912,9.778903008,-19.98939323,-46.59314346,-6.74234724,-0.155029297,0.264160156,-0.500244141, 
128,1211848739,0.980706453,0.090464853,-0.161460519,0.062950253,-0.06299115,1.924557805,10.54607964,-21.89201927,-63.28488541,-25.1356678,-0.166992188,0.253662109,-0.481201172, 
129,1211857072,0.979774177,0.09012118,-0.168515041,0.059368826,-0.985283136,1.747585893,10.61010265,-18.13985634,-100.7879333,-38.13438034,-0.167480469,0.241943359,-0.451416016, 
130,1211865405,0.97795409,0.091572389,-0.17946206,0.054907121,0.826630831,-0.683374822,9.709514618,2.157859325,-158.2926178,-48.62052917,-0.186279297,0.224365234,-0.435791016, 
131,1211873738,0.975111425,0.094040342,-0.194743931,0.048891865,1.093705773,-2.245524883,13.19064999,9.782164574,-221.440918,-65.75273132,-0.1953125,0.211669922,-0.407958984, 
132,1211882071,0.967329741,0.102247514,-0.227371231,0.04607033,-17.88169479,1.000874758,20.43323135,90.2666626,-467.4705505,-12.58566189,-0.227783203,0.194091797,-0.384521484, 
133,1211890404,0.954359055,0.114451557,-0.271877855,0.04672391,-4.725312233,6.806399822,14.49402523,153.910675,-639.145874,41.19874573,-0.265869141,0.172607422,-0.347412109, 
134,1211898737,0.937309504,0.122289605,-0.32264021,0.048994131,-1.898470163,9.432388306,13.72754192,105.2491531,-731.6278687,91.18857574,-0.331054688,0.161865234,-0.305664063, 
135,1211907070,0.915454507,0.125816494,-0.378955781,0.050070379,-4.142294407,6.623326302,16.12018013,48.52655411,-823.562561,107.6380768,-0.376220703,0.156005859,-0.244140625, 
136,1211915403,0.887839019,0.122464456,-0.440897644,0.048529096,-6.674740314,7.848332405,20.62460709,-45.50958252,-924.6222534,124.1499557,-0.445800781,0.16796875,-0.169677734, 
137,1211923736,0.851101756,0.11126598,-0.511125088,0.044702031,-7.001555443,7.684725285,22.91025162,-145.6014099,-1080.036377,164.1503143,-0.493164063,0.189208984,-0.066894531, 
138,1211932069,0.804915845,0.090778425,-0.585499763,0.032577578,-4.354827404,11.35772419,17.05296707,-300.8426514,-1202.579102,144.2915192,-0.550537109,0.223632813,0.069335938, 
139,1211940402,0.788061202,0.086365119,-0.609469473,0.006981587,45.3131218,5.45178318,48.39427567,-245.1199951,-431.0713196,-210.2518921,-0.579101563,0.234375,0.183837891, 
140,1211948735,0.792247355,0.081423536,-0.604726434,-0.004621453,21.87329674,-12.18576527,49.40634918,-155.6938629,73.31838989,-90.5592804,-0.615966797,0.224853516,0.189453125, 
141,1211957068,0.796563804,0.08586634,-0.598395884,-0.006041756,-7.688501835,-23.34712601,22.70718193,30.996315,103.3482666,-59.07925034,-0.627929688,0.234863281,0.169677734, 
142,1211965401,0.795271695,0.098908432,-0.598129511,-0.001454064,-5.289540768,-11.49550819,8.254191399,181.7490234,-1.077907085,-57.68684387,-0.658203125,0.24609375,0.138671875, 
143,1211973734,0.793449819,0.108773798,-0.598834097,0.002182647,-0.099448755,3.941718578,10.57820415,139.9683533,-18.05318069,-40.45586777,-0.672607422,0.257080078,0.112548828, 
144,1211982067,0.794706881,0.110885188,-0.596776962,0.001971829,2.309750319,5.870230675,11.90071392,19.10928917,32.55490875,-22.99739456,-0.700439453,0.273925781,0.082275391, 
145,1211990400,0.798702478,0.108337969,-0.591893911,-0.000297148,0.755140603,-2.541292191,10.25165749,-52.72607422,82.1725769,-11.47361088,-0.706298828,0.293457031,0.053955078, 
146,1211998733,0.802605391,0.106987089,-0.586837292,-0.001259486,-0.033959772,-8.108304977,8.550127029,-28.87931442,86.00431824,-7.286919117,-0.7265625,0.321289063,0.019042969, 
147,1212007066,0.806559384,0.108056739,-0.581194282,-0.000370581,1.803026915,-5.40559721,9.506989479,12.75100994,94.83462524,-7.079550266,-0.719970703,0.345947266,-0.013183594, 
148,1212015399,0.812093318,0.108906217,-0.573274553,0.001260696,2.597814083,-0.403357953,11.33707237,13.82287979,134.6371918,-0.631810844,-0.730712891,0.372558594,-0.063232422, 
149,1212023732,0.819136858,0.108630955,-0.563213229,0.00251623,1.1798985,1.662425756,12.59909058,-3.822406054,169.0264893,0.928193569,-0.71484375,0.404541016,-0.105224609, 
